drug,label,marketDate,bbwDate,prediction
androgel,1,2003-05-15,2009-05-07,0.735537190082645
topamax,0,1997-01-01,NA,0.700808625336927
enbrel,1,2003-01-02,2008-07-01,0.665760869565217
testim,1,2002-10-31,2009-09-01,0.626822157434402
chantix,1,2006-05-10,2009-07-01,0.555858310626703
sensipar,0,2004-04-04,NA,0.547619047619048
viramune,1,2001-08-01,2005-02-01,0.542699724517906
exforge,1,2007-06-20,2008-07-01,0.529569892473118
avastin,1,2004-02-26,2005-11-03,0.437125748502994
afinitor,0,2009-03-31,NA,0.395543175487465
tricor,0,2004-11-05,NA,0.391534391534392
invega,1,2006-12-19,2008-06-16,0.389972144846797
wellbutrin xl,1,2003-10-08,2006-02-01,0.342618384401114
novolog,0,2001-08-27,NA,0.338323353293413
rituxan,0,1997-11-26,NA,0.332460732984293
restasis,0,2003-04-01,NA,0.329479768786127
reyataz,0,2003-06-24,NA,0.328611898016997
ambien cr,0,2005-10-07,NA,0.319034852546917
eloxatin,1,2006-06-02,2009-03-01,0.30749354005168
lantus,0,2002-06-04,NA,0.302941176470588
oracea,0,2006-09-29,NA,0.292134831460674
levaquin,1,1996-12-20,2008-07-08,0.283378746594005
zometa,0,2001-08-20,NA,0.276315789473684
lucentis,0,2006-06-30,NA,0.267409470752089
lyrica,0,2004-12-30,NA,0.262430939226519
prezista,0,2008-03-08,NA,0.25531914893617
januvia,0,2006-10-16,NA,0.241176470588235
levemir,0,2006-03-27,NA,0.224932249322493
mirapex,0,2003-09-04,NA,0.205194805194805
lovaza,0,2008-10-21,NA,0.192200557103064
isentress,0,2007-10-12,NA,0.189473684210526
crestor,0,2003-08-18,NA,0.184357541899441
gleevec,0,2001-05-15,NA,0.179558011049724
spiriva,0,2004-07-14,NA,0.174647887323944
byetta,0,2005-04-28,NA,0.161473087818697
bystolic,0,2008-01-22,NA,0.146276595744681
cymbalta,1,2004-08-24,2012-10-01,0.134078212290503
veramyst,0,2007-05-15,NA,0.13031914893617
zetia,0,2002-10-25,NA,0.116883116883117
humira,1,2002-12-30,2009-11-01,0.0938337801608579
flovent,0,2005-07-13,NA,0.0906593406593407
kaletra,0,2006-04-11,NA,0.0756302521008403
fentora,1,2006-09-25,2008-02-01,0.0660660660660661
xopenex hfa,0,2005-12-01,NA,0.0343007915567282
namenda,0,2003-10-16,NA,0.02
zegerid,0,2004-06-15,NA,0.016260162601626
ultram er,0,2005-09-08,NA,0.00291545189504373
