drug,label,marketDate,bbwDate,prediction
testim,1,2002-10-31,2009-09-01,0.669270833333333
androgel,1,2003-05-15,2009-05-07,0.641509433962264
enbrel,1,2003-01-02,2008-07-01,0.605113636363636
chantix,1,2006-05-10,2009-07-01,0.532608695652174
wellbutrin xl,1,2003-10-08,2006-02-01,0.522346368715084
viramune,1,2001-08-01,2005-02-01,0.506666666666667
exforge,1,2007-06-20,2008-07-01,0.502702702702703
topamax,0,1997-01-01,NA,0.484593837535014
afinitor,0,2009-03-31,NA,0.422872340425532
intuniv,0,2009-09-02,NA,0.420485175202156
eloxatin,1,2006-06-02,2009-03-01,0.394594594594595
reyataz,0,2003-06-24,NA,0.393939393939394
trilipix,0,2008-12-15,NA,0.361581920903955
solodyn,0,2009-07-23,NA,0.356770833333333
byetta,0,2005-04-28,NA,0.35195530726257
sensipar,0,2004-04-04,NA,0.348082595870207
lyrica,0,2004-12-30,NA,0.346456692913386
tricor,0,2004-11-05,NA,0.343490304709141
levemir,0,2006-03-27,NA,0.341968911917098
neupogen,0,1994-06-08,NA,0.338983050847458
spiriva,0,2004-07-14,NA,0.338235294117647
crestor,0,2003-08-18,NA,0.321782178217822
velcade,0,2003-05-13,NA,0.31830985915493
thalomid,1,2003-06-20,2006-05-01,0.303664921465969
levaquin,1,1996-12-20,2008-07-08,0.303370786516854
restasis,0,2003-04-01,NA,0.290666666666667
bystolic,0,2008-01-22,NA,0.272020725388601
invega,1,2006-12-19,2008-06-16,0.267955801104972
rituxan,1,1997-11-26,2013-09-25,0.265582655826558
veramyst,0,2007-05-15,NA,0.260526315789474
ambien cr,0,2005-10-07,NA,0.256
zetia,0,2002-10-25,NA,0.242966751918159
amaryl,0,2009-06-18,NA,0.242105263157895
lucentis,0,2006-06-30,NA,0.239690721649485
lantus,0,2002-06-04,NA,0.233333333333333
avastin,1,2004-02-26,2005-11-03,0.221621621621622
cymbalta,1,2004-08-24,2012-10-01,0.215743440233236
zometa,0,2001-08-20,NA,0.212765957446809
creon,0,2009-09-29,NA,0.211111111111111
orencia,0,2009-01-01,NA,0.205405405405405
novolog,0,2001-08-27,NA,0.199460916442049
mirapex,0,2003-09-04,NA,0.195061728395062
humira,1,2002-12-30,2009-11-01,0.193548387096774
lialda,0,2007-01-16,NA,0.18960244648318
januvia,0,2006-10-16,NA,0.175792507204611
kaletra,0,2006-04-11,NA,0.160818713450292
namenda,0,2003-10-16,NA,0.153424657534247
oracea,0,2006-09-29,NA,0.151832460732984
gilenya,0,2010-09-21,NA,0.149870801033592
xyzal,0,2007-08-09,NA,0.128834355828221
gleevec,0,2001-05-15,NA,0.127320954907162
pravachol,0,2009-06-01,NA,0.124653739612188
isentress,0,2007-10-12,NA,0.111731843575419
zegerid,0,2004-06-15,NA,0.108433734939759
lovaza,0,2008-10-21,NA,0.102493074792244
flovent,0,2005-07-13,NA,0.100271002710027
ultram er,0,2005-09-08,NA,0.0887096774193548
fentora,1,2006-09-25,2008-02-01,0.0879765395894428
dexilant,0,2010-04-12,NA,0.0845070422535211
prezista,0,2008-03-08,NA,0.0712166172106825
copaxone,0,2008-04-28,NA,0.0625
yaz,1,2006-03-16,2008-12-01,0.0604395604395604
xopenex hfa,0,2005-12-01,NA,0.020671834625323
