drug,label,marketDate,bbwDate,prediction
topamax,0,1997-01-01,NA,0.723404255319149
androgel,1,2003-05-15,2009-05-07,0.575596816976127
viramune,1,2001-08-01,2005-02-01,0.565573770491803
chantix,1,2006-05-10,2009-07-01,0.535816618911175
enbrel,1,2003-01-02,2008-07-01,0.529411764705882
levaquin,1,1996-12-20,2008-07-08,0.522193211488251
testim,1,2002-10-31,2009-09-01,0.521865889212828
exforge,1,2007-06-20,2008-07-01,0.517520215633423
reyataz,0,2003-06-24,NA,0.505524861878453
spiriva,0,2004-07-14,NA,0.468390804597701
wellbutrin xl,1,2003-10-08,2006-02-01,0.444444444444444
bystolic,0,2008-01-22,NA,0.418032786885246
afinitor,0,2009-03-31,NA,0.389920424403183
avastin,1,2004-02-26,2005-11-03,0.384823848238482
sensipar,0,2004-04-04,NA,0.377049180327869
levemir,0,2006-03-27,NA,0.365217391304348
velcade,0,2003-05-13,NA,0.361038961038961
crestor,0,2003-08-18,NA,0.35672514619883
eloxatin,1,2006-06-02,2009-03-01,0.34971098265896
humira,1,2002-12-30,2009-11-01,0.334310850439883
zometa,0,2001-08-20,NA,0.334246575342466
intuniv,0,2009-09-02,NA,0.329639889196676
byetta,0,2005-04-28,NA,0.328395061728395
neupogen,0,1994-06-08,NA,0.326760563380282
thalomid,1,2003-06-20,2006-05-01,0.320547945205479
restasis,0,2003-04-01,NA,0.319444444444444
creon,0,2009-09-29,NA,0.313390313390313
tricor,0,2004-11-05,NA,0.310945273631841
lyrica,0,2004-12-30,NA,0.303206997084548
rituxan,1,1997-11-26,2013-09-25,0.292746113989637
solodyn,0,2009-07-23,NA,0.279569892473118
invega,1,2006-12-19,2008-06-16,0.277333333333333
xgeva,0,2010-11-18,NA,0.259562841530055
zetia,0,2002-10-25,NA,0.252717391304348
lantus,0,2002-06-04,NA,0.24468085106383
gilenya,0,2010-09-21,NA,0.235294117647059
kaletra,0,2006-04-11,NA,0.214477211796247
novolog,0,2001-08-27,NA,0.203389830508475
cymbalta,1,2004-08-24,2012-10-01,0.2
veramyst,0,2007-05-15,NA,0.190217391304348
lucentis,0,2006-06-30,NA,0.182825484764543
nuvigil,0,2009-05-26,NA,0.182291666666667
oracea,0,2006-09-29,NA,0.181564245810056
fentora,1,2006-09-25,2008-02-01,0.179487179487179
amaryl,0,2009-06-18,NA,0.17910447761194
gleevec,0,2001-05-15,NA,0.178191489361702
ambien cr,0,2005-10-07,NA,0.177057356608479
pravachol,0,2009-06-01,NA,0.171428571428571
mirapex,0,2003-09-04,NA,0.169444444444444
trilipix,0,2008-12-15,NA,0.169444444444444
orencia,0,2009-01-01,NA,0.169398907103825
namenda,0,2003-10-16,NA,0.162087912087912
lialda,0,2007-01-16,NA,0.162025316455696
januvia,0,2006-10-16,NA,0.152815013404826
zegerid,0,2004-06-15,NA,0.146131805157593
flovent,0,2005-07-13,NA,0.141711229946524
ultram er,0,2005-09-08,NA,0.133858267716535
tiazac,0,2010-12-25,NA,0.12
prezista,0,2008-03-08,NA,0.113259668508287
isentress,0,2007-10-12,NA,0.108823529411765
copaxone,0,2008-04-28,NA,0.10079575596817
lovaza,0,2008-10-21,NA,0.0989010989010989
xyzal,0,2007-08-09,NA,0.0906593406593407
dexilant,0,2010-04-12,NA,0.0819672131147541
betaseron,0,2009-07-09,NA,0.0623306233062331
xarelto,1,2011-07-01,2014-03-01,0.0563002680965147
xopenex hfa,0,2005-12-01,NA,0.0494791666666667
yaz,1,2006-03-16,2008-12-01,0.043010752688172
