drug	group	label	marketDate	bbwDate	bbwText	prePhaseTrialNum	postPhaseTrialNum	preDatedTrialNum	postDatedTrialNum	preMeanEnroll	postMeanEnroll	ECdiseaseFocusDivergenceLevel	ECdiseaseFocusShiftLevel	ECdrugFocusDivergenceLevel	ECdrugFocusShiftLevel
afinitor	ROBUST	0	2009-03-31	NA	NA	1126	298	619	200	139.663974151858	696.54	-0.00492079479491891	0.298578648736355	-0.0634448546370758	0.338842114891499
amaryl	ROBUST	0	2009-06-18	NA	NA	121	56	96	56	810.625	453.267857142857	0.0614007027901155	0.12046508929391	-0.0223593340042871	0.112284367389418
ambien cr	ROBUST	0	2005-10-07	NA	NA	40	29	9	23	169.444444444444	131.521739130435	-0.00714855631588079	0.34833865501774	0.0104628318721446	0.460521799379043
androgel	BBW	1	2003-05-15	2009-05-07	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	253	60	31	54	216	84.5555555555556	-0.0625422088673147	0.435407045508549	-0.00456345276956088	0.20492202861657
avastin	BBW	1	2004-02-26	2005-11-03	GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis.	1454	66	70	78	151.742857142857	134.589743589744	0.169285574247942	0.613265926018267	-0.0348763624586995	0.539783008691059
betaseron	ROBUST	0	2009-07-09	NA	NA	30	16	20	9	282.25	290.666666666667	-0.00534474848464511	0.21956992421566	-0.00522497415568546	0.449989257497778
byetta	ROBUST	0	2005-04-28	NA	NA	138	54	31	66	278.032258064516	299.439393939394	0.134670917012241	0.292663709114417	0.0720891235160118	0.200455847094942
bystolic	ROBUST	0	2008-01-22	NA	NA	23	36	19	46	415.473684210526	140.521739130435	0.0891045266014599	0.571238325255146	0.111782934742723	0.219543174402754
chantix	BBW	1	2006-05-10	2009-07-01	Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.	117	54	14	50	652.714285714286	501.34	0.200935619233151	0.645463791022072	0.234043775329768	0.189907412699018
copaxone	ROBUST	0	2008-04-28	NA	NA	43	24	20	12	469.05	507.666666666667	0.0251152096925529	0.287287685899879	0.0337152214016428	0.402170489542377
creon	ROBUST	0	2009-09-29	NA	NA	510	40	319	23	93.9404388714733	49.1304347826087	0.0576914647296625	0.450755751990361	-0.0386113026120836	0.747184382780233
crestor	ROBUST	0	2003-08-18	NA	NA	226	88	25	87	2739.12	647.35632183908	0.181166320712891	0.287365052224915	0.0881870039570951	0.113902385666626
cymbalta	BBW	1	2004-08-24	2012-10-01	Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients.	122	76	26	68	412.615384615385	205.897058823529	0.0080066320390843	0.403243795650949	0.116925338287123	0.149761644286099
dexilant	ROBUST	0	2010-04-12	NA	NA	89	55	51	21	426.411764705882	1962.52380952381	0.02977029939814	0.345164827044014	-0.0191582717259402	0.605318873083788
eloxatin	BBW	1	2006-06-02	2009-03-01	Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis.	1106	22	325	16	243.369230769231	193.9375	0.0279162240165381	0.192867565258634	-0.0225120971091647	0.212586791581237
enbrel	BBW	1	2003-01-02	2008-07-01	Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents.	164	93	33	94	117.363636363636	273.595744680851	-0.0741543889914901	0.186776833099205	-0.0125676322300805	0.189125826490075
exforge	BBW	1	2007-06-20	2008-07-01	D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	17	9	12	16	1208.83333333333	548.375	0.116094549817019	0.67363504399669	0.146789552558334	0.279201441595675
fentora	BBW	1	2006-09-25	2008-02-01	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Fentora. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called TIRF REMS Access program (Transmucosal Immediate Release Fentanyl Risk Evaluation Mitigation Strategy) due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	183	173	61	156	152.540983606557	134.538461538462	0.0802236913797011	0.13244891757344	0.0903089863977019	0.256403853736689
flovent	ROBUST	0	2005-07-13	NA	NA	290	157	54	164	632.777777777778	536.621951219512	0.0755512925966828	0.153743948806892	0.0810433956456785	0.271484965507175
gilenya	ROBUST	0	2010-09-21	NA	NA	39	24	29	21	698.551724137931	664.952380952381	-0.0636764348892249	0.374029545544334	0.013338786696091	0.65778425440919
gleevec	ROBUST	0	2001-05-15	NA	NA	460	28	17	29	365.235294117647	86.0689655172414	0.12472053609485	0.428876068641822	0.00648047507057709	0.651018822542257
humira	BBW	1	2002-12-30	2009-11-01	Increased risk of serious infections (eg, active tuberculosis [TB] including latent TB reactivation, invasive fungal, bacterial, viral, and other infections due to opportunistic pathogens) leading to hospitalization or death, mostly with concomitant use of immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation TB patients have frequently presented with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to adalimumab use. Invasive fungal infections reported; consider empiric antifungal therapy in patients at risk who develop severe systemic illness. Monitor patients closely for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents. Postmarketing cases of aggressive and fatal hepatosplenic T-cell lymphoma (HSTCL) reported in patients with Crohn's disease (CD) or ulcerative colitis (UC) and the majority were in adolescent and young adult males; all of these patients were treated concomitantly with azathioprine or 6-mercaptopurine.	181	75	10	79	1359.4	268.443037974684	0.124086181344841	0.181420281899716	0.127362280107371	0.268441806649281
intuniv	ROBUST	0	2009-09-02	NA	NA	28	14	21	14	203.761904761905	71.9285714285714	-0.00442200414508764	0.641234238970427	-0.16051398571135	0.549538871564167
invega	BBW	1	2006-12-19	2008-06-16	Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be cardiovascular (CV) (eg, heart failure, sudden death) or infectious (eg, pneumonia) in nature. Not approved for the treatment of patients with dementia-related psychosis.	95	51	51	48	210.039215686275	172.916666666667	0.00907349623935982	0.185755443228181	-0.00854356545731921	0.236870558203549
isentress	ROBUST	0	2007-10-12	NA	NA	142	62	27	99	180.333333333333	90.9191919191919	0.0929727016256717	0.281044694577419	0.00378786837536432	0.343247525870859
januvia	ROBUST	0	2006-10-16	NA	NA	209	91	42	131	385.833333333333	240.824427480916	0.190203755633495	0.14520441356137	0.0133732813091542	0.187899132034272
kaletra	ROBUST	0	2006-04-11	NA	NA	172	89	100	119	338.82	109.36974789916	0.0199634322347028	0.258193953843026	0.00968028188922831	0.268220816375385
lantus	ROBUST	0	2002-06-04	NA	NA	224	177	14	216	1923.35714285714	253.87962962963	0.134090566689859	0.17000161098242	0.085464521347802	0.257331371800277
levaquin	BBW	1	1996-12-20	2008-07-08	Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased with patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis.	100	43	11	62	507.545454545455	377.532258064516	0.146933059948659	0.583267041967873	0.14019039613839	0.403071693909425
levemir	ROBUST	0	2006-03-27	NA	NA	67	54	32	56	952.78125	172.982142857143	0.171318900538452	0.0877783636068333	0.105787104200008	0.160677499875683
lialda	ROBUST	0	2007-01-16	NA	NA	101	17	33	14	309.30303030303	207.857142857143	0.0226869142341374	0.117838642213419	0.0279457279213722	0.357962234894683
lovaza	ROBUST	0	2008-10-21	NA	NA	61	34	20	22	960.2	67.6818181818182	-0.00125906836317058	0.38144034026256	-0.0267356479944204	0.344026529777765
lucentis	ROBUST	0	2006-06-30	NA	NA	274	68	26	81	336.653846153846	169.851851851852	0.0237238867878991	0.0780458192134542	0.0322304601434885	0.227238867123536
lyrica	ROBUST	0	2004-12-30	NA	NA	182	84	15	88	333.133333333333	140.772727272727	0.069956010183029	0.298875994625615	0.373675834583988	0.153077959855891
mirapex	ROBUST	0	2003-09-04	NA	NA	73	29	9	26	174.333333333333	168.307692307692	0.0930536088073733	0.279854024335936	0.0866559070821251	0.292241287759831
namenda	ROBUST	0	2003-10-16	NA	NA	84	48	9	48	347.777777777778	86.5208333333333	0.0223235043086548	0.486928954374111	0.0780497598434736	0.311409851295937
neupogen	ROBUST	0	1994-06-08	NA	NA	868	12	17	12	290.823529411765	169.333333333333	0.0568985517604719	0.201704647556184	-0.0111334156130717	0.556571742282783
novolog	ROBUST	0	2001-08-27	NA	NA	195	110	21	134	1254.90476190476	227.455223880597	0.0412550972673471	0.0978509482869016	0.0931298943621268	0.258553352619312
nuvigil	ROBUST	0	2009-05-26	NA	NA	116	27	72	11	152.333333333333	94.2727272727273	-0.101245665290727	0.251135176413772	-0.068069344800788	0.330542411363123
oracea	ROBUST	0	2006-09-29	NA	NA	108	38	27	33	196.703703703704	191.636363636364	0.0275958803906182	0.467257215661899	0.0603974702167657	0.309801845393459
