testDate,validateDate,predictiveRange,knownTrainingBBW,knownValidationBBW,totalBBWnuM,totalDrugNum,AUC
1/1/06,1/1/07,1,1,2,7,17,0.133
1/1/06,1/1/08,2,1,2,7,17,0.133
1/1/06,1/1/09,3,1,4,7,17,0.385
1/1/06,1/1/10,4,1,6,7,17,0.418
1/1/06,1/1/11,5,1,6,7,17,0.418
1/1/06,1/1/12,6,1,6,7,17,0.418
1/1/06,1/1/13,7,1,7,7,17,0.333
1/1/06,1/1/14,8,1,7,7,17,0.333
1/1/06,1/1/15,9,1,7,7,17,0.333
1/1/06,4/9/15,10,1,7,7,17,0.333
1/1/07,1/1/07,0,3,3,10,24,0.222
1/1/07,1/1/08,1,3,3,10,24,0.222
1/1/07,1/1/09,2,3,5,10,24,0.421
1/1/07,1/1/10,3,3,8,10,24,0.484
1/1/07,1/1/11,4,3,8,10,24,0.484
1/1/07,1/1/12,5,3,8,10,24,0.484
1/1/07,1/1/13,6,3,9,10,24,0.43
1/1/07,1/1/14,7,3,10,10,24,0.421
1/1/07,1/1/15,8,3,10,10,24,0.421
1/1/07,4/9/15,9,3,10,10,24,0.421
1/1/08,1/1/08,0,3,3,11,34,0.446
1/1/08,1/1/09,1,3,6,11,34,0.658
1/1/08,1/1/10,2,3,9,11,34,0.611
1/1/08,1/1/11,3,3,9,11,34,0.611
1/1/08,1/1/12,4,3,9,11,34,0.611
1/1/08,1/1/13,5,3,10,11,34,0.556
1/1/08,1/1/14,6,3,11,11,34,0.532
1/1/08,1/1/15,7,3,11,11,34,0.532
1/1/08,4/9/15,8,3,11,11,34,0.532
1/1/09,1/1/09,0,7,7,13,41,0.672
1/1/09,1/1/10,1,7,11,13,41,0.712
1/1/09,1/1/11,2,7,11,13,41,0.712
1/1/09,1/1/12,3,7,11,13,41,0.712
1/1/09,1/1/13,4,7,12,13,41,0.675
1/1/09,1/1/14,5,7,13,13,41,0.687
1/1/09,1/1/15,6,7,13,13,41,0.687
1/1/09,4/9/15,7,7,13,13,41,0.687
1/1/10,1/1/10,0,13,13,15,47,0.785
1/1/10,1/1/11,1,13,13,15,47,0.785
1/1/10,1/1/12,2,13,13,15,47,0.785
1/1/10,1/1/13,3,13,14,15,47,0.745
1/1/10,1/1/14,4,13,15,15,47,0.754
1/1/10,1/1/15,5,13,15,15,47,0.754
1/1/10,4/9/15,6,13,15,15,47,0.754
1/1/11,1/1/11,0,13,13,15,51,0.826
1/1/11,1/1/12,1,13,13,15,51,0.826
1/1/11,1/1/13,2,13,14,15,51,0.805
1/1/11,1/1/14,3,13,15,15,51,0.807
1/1/11,1/1/15,4,13,15,15,51,0.807
1/1/11,4/9/15,5,13,15,15,51,0.807
1/1/12,1/1/12,0,15,15,17,58,0.8
1/1/12,1/1/13,1,15,16,17,58,0.768
1/1/12,1/1/14,2,15,17,17,58,0.768
1/1/12,1/1/15,3,15,17,17,58,0.768
1/1/12,4/9/15,4,15,17,17,58,0.768
1/1/13,1/1/13,0,16,16,17,63,0.794
1/1/13,1/1/14,1,16,17,17,63,0.784
1/1/13,1/1/15,2,16,17,17,63,0.784
1/1/13,4/9/15,3,16,17,17,63,0.784
1/1/14,1/1/14,0,17,17,18,67,0.802
1/1/14,1/1/15,1,17,18,18,67,0.778
1/1/14,4/9/15,2,17,18,18,67,0.778
1/1/15,1/1/15,0,18,18,18,68,0.792
1/1/15,4/9/15,1,18,18,18,68,0.792
4/9/15,4/9/15,0,18,18,18,68,0.789
